x_tsne,y_tsne,label
-67.72379,-30.938475,4
18.210588,-0.45320335,1
8.995107,-37.387486,4
17.8627,-1.2187101,1
-43.479744,-0.6125794,4
10.619441,41.610138,4
-62.168907,28.773,4
42.305244,73.33666,4
55.235527,-12.176869,1
-19.344305,-56.01378,4
49.189686,-39.13402,4
10.070884,42.228756,4
-16.86297,57.25391,4
-60.70522,41.240707,4
19.163977,-29.065912,4
18.158932,-0.6157592,1
-15.253802,64.139275,4
49.03621,-6.109048,1
-21.635773,24.500896,4
28.049025,39.49176,4
25.69507,88.16651,3
-58.422543,36.582676,4
14.48335,32.73098,4
24.355392,38.79603,4
-19.722021,38.87638,4
18.096561,1.5405979,1
-0.3632772,63.79588,4
59.704067,-47.664684,4
-24.065992,45.0507,4
-39.857056,32.8297,4
17.653946,-57.52107,4
17.986301,-1.0009006,1
-54.454514,-9.194434,4
17.63004,2.2910936,1
-14.546902,60.50946,4
-36.31466,49.907864,4
-66.24065,-2.1004577,4
72.67619,6.855044,1
-52.27399,-39.82845,4
18.271687,31.269987,4
27.843187,-48.36994,4
-2.6555588,65.52656,4
-7.180688,-66.35391,4
-17.368437,54.049114,4
12.210318,36.181442,4
-54.075157,-37.75989,4
-13.533324,-76.45416,4
-55.201103,-1.1918716,4
-18.737892,54.909924,4
-21.29294,-31.453112,4
-28.62668,27.15069,4
-31.53498,3.922763,4
17.64154,2.2790816,1
-15.979715,-62.435947,4
1.4525886,66.24662,4
17.929836,1.8797219,1
18.239578,1.1155951,1
-6.7293453,-2.524411,4
-42.90545,-1.9454228,4
-3.3664055,-29.734137,4
-8.623828,47.53632,4
43.19848,66.74542,4
-32.08859,-36.719543,4
-8.806849,23.714169,4
70.91726,8.379118,1
18.324484,0.4639718,1
17.16304,2.7413883,1
17.144365,-28.750078,4
-22.470816,-38.160385,4
70.91778,8.379099,1
-10.882593,49.889908,4
13.820341,-65.16137,4
-63.996418,-34.46206,4
-29.860083,36.564533,4
-36.26544,3.1968443,4
48.972992,5.0880003,1
1.8923944,-46.48992,4
-68.10263,25.868551,4
0.7284345,-30.160824,4
-52.557842,50.84587,4
-48.11522,-15.820324,4
-16.905962,64.523415,4
17.965857,-30.855207,4
68.197334,3.7240882,1
-67.81154,-30.79685,4
17.880245,1.9599003,1
-14.546699,60.50972,4
61.429447,7.1568584,1
17.432106,2.5110571,1
17.724848,-1.4222227,1
-12.018251,-42.844467,4
17.168245,2.7379978,1
-19.285204,30.820219,4
25.69507,88.16651,4
-81.243034,6.8324,4
25.69507,88.16651,4
-61.561565,21.885145,4
-31.99138,-61.947742,0
-8.397175,28.824045,4
17.674408,-1.4829782,1
48.802467,-47.221405,4
25.885157,-33.401306,4
-4.480002,-10.126051,4
-5.803612,-51.443367,4
16.530703,3.1117852,1
-9.601467,78.68187,4
-50.326725,-49.690594,4
-71.29746,19.691732,4
55.295563,14.518782,1
-64.910324,-26.690645,4
-28.045376,-46.398876,4
16.52588,3.113738,1
-24.263834,27.004461,4
-28.60845,17.820639,4
-27.06791,-39.401546,4
11.599851,31.619112,4
22.196768,-41.651165,4
-56.004814,-13.021957,4
-16.229776,-11.483817,4
16.245283,3.2208745,1
24.19964,-32.731983,4
39.632545,-5.647517,1
-41.540035,41.38535,4
24.627995,41.290024,4
-40.438633,60.67188,4
-51.10132,4.007227,4
-13.590322,10.565978,4
39.666203,-5.64038,1
59.707947,-47.668186,4
2.3218374,-57.771606,4
-23.64172,-14.831108,4
-61.869568,6.5799522,4
-22.14149,-45.255424,4
-62.155743,16.948421,4
-3.302077,10.103694,4
-28.230474,64.864456,4
47.558067,5.654441,1
17.413136,-1.7684499,1
-18.266146,62.76809,4
-22.972342,25.689682,4
57.7995,-1.8575351,1
16.66236,3.051821,1
51.411694,-36.27649,4
-42.83398,27.073116,4
-43.101254,35.417133,4
53.609344,-71.486626,4
-55.58707,-63.708492,3
-2.1397052,45.25041,4
49.155495,9.596539,1
-53.17196,-8.638184,4
16.532385,3.112183,1
19.731094,33.707935,4
83.02611,-6.344632,4
-18.610329,-20.049376,4
50.150585,-73.44108,4
