x_tsne,y_tsne,label
-22.036238,-23.528116,4
-11.743717,-5.650905,4
13.1213255,11.202198,4
-3.2099283,33.178547,3
-1.8066131,-13.414386,4
48.994965,2.9089046,1
48.862743,4.116368,1
10.595522,2.621024,4
-36.486908,-8.763303,4
-10.688086,-7.0742936,4
-15.739603,-29.965357,4
-9.730966,-30.790377,4
66.15015,-2.333111,1
-36.357964,24.81929,4
47.163273,5.526967,1
-8.883781,-12.0081215,4
2.662846,33.839954,4
9.912317,-14.880571,4
-22.066198,-24.788738,4
46.699467,4.5066023,1
-5.307224,-36.74449,4
-9.734341,5.2503896,4
-10.659722,27.18349,4
46.189312,0.80244344,1
48.140633,3.8125513,1
-26.222921,-41.972,4
-37.924538,-2.051703,4
4.510226,26.200377,4
-46.61389,-5.22437,4
-20.664997,-20.674253,4
-34.156242,26.264612,4
-4.183702,29.502316,4
-9.169811,-9.380215,4
-19.272402,-30.532043,4
-30.351856,-5.8715863,4
52.72806,-4.7422786,1
2.2569294,21.762892,4
-27.580076,3.829055,4
55.842556,-11.255123,1
1.9794354,-27.683956,4
-34.70236,-4.347107,4
-37.55692,25.699028,4
-4.4904575,15.286901,4
45.12005,4.532588,1
4.9232945,-29.217655,4
3.0620942,-17.27468,4
47.154224,4.3143964,1
57.509163,-1.5720351,1
0.80869365,-39.46356,3
-35.432438,22.778893,4
53.997242,-2.8614213,1
10.587218,2.347166,4
-13.516054,6.236195,4
-6.1855097,-4.7899203,4
-19.474684,39.637497,4
-28.7432,-37.287037,4
11.922504,-16.872557,0
-8.0799675,-24.235252,4
46.24374,4.5274005,1
66.15015,-2.333111,1
-40.73364,-6.0248685,4
-37.02827,30.534986,4
-44.541546,-1.6972177,4
-22.26587,2.8542113,4
10.07335,11.081324,0
-23.377043,13.051333,4
-1.0572343,-34.719917,4
-0.15553956,-16.479166,4
-24.853834,-33.927998,4
60.87174,10.546076,1
-35.890133,-4.335244,4
-14.367275,0.58807087,4
-42.288868,8.477991,4
-21.40882,-13.984513,4
-26.710875,-5.0760865,4
-14.517382,3.4697998,4
4.1664343,-26.779202,4
-2.3494947,8.283514,4
-33.77518,31.505346,4
4.697152,-2.1409461,4
46.446228,5.2845335,1
4.19078,23.405222,4
9.620614,14.447391,4
-13.452755,12.107206,4
-11.733437,-42.287148,4
-20.165152,40.826378,4
1.9472333,-37.671623,4
-3.3864806,32.77781,0
-21.154629,4.387385,4
-23.158333,-24.849344,4
-24.201534,-25.206507,4
-8.023931,38.608437,4
-29.22568,-33.957905,4
47.97454,5.6369743,1
3.4947438,-30.367792,4
-22.069847,4.288107,4
4.667775,-22.931623,3
-2.658145,8.979009,4
10.588702,2.3391006,4
-28.587204,-21.364689,4
5.783374,13.800965,4
-10.895169,2.8476448,4
-5.367112,-36.184776,4
-0.4051102,13.272267,4
-28.860956,3.9437516,4
-32.73799,20.789072,4
5.7517085,31.044716,4
0.060554,30.366732,4
-27.089823,-32.42572,4
2.664054,32.739765,4
50.298794,8.462268,1
-31.683027,-21.612352,4
-9.634886,25.547998,4
24.280699,61.670612,4
-4.1059446,39.2034,4
65.09505,-10.494818,1
-16.832542,-11.782633,4
-35.785336,23.407795,4
47.363037,5.019707,0
-2.0604415,14.134521,4
-9.048618,-9.348041,4
2.0504358,35.111782,4
